SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,RAIL_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age
1060000,7005,2868,7036.8,55735.3,55735.3,12826.9,24
925000,7000,2802,7076.8,55711,55711,12866.4,25
860000,4002,2553,6411.9,55534.4,55534.4,12200,25
9.00E+05,5703,2802,6964.9,55547.1,55547.1,12752.8,23
747000,3063,2486,3292.2,55307.9,55307.9,9079.9,16
875000,4071,3041,6983.6,55477.8,55477.8,12771.4,23
8.00E+05,4002,2868,6412.2,55450.7,55450.7,12200,25
940000,4002,2802,7076,55394,55394,12863.8,24
750000,3335,2365,3103.1,54513.4,54513.4,8907.1,15
1075000,4439,3013,3750.4,54223.7,54223.7,9567,15
897000,4512,2633,3790.5,54222,54222,9607.5,15
1100000,4466,2586,3372,54142.4,54142.4,9195.6,15
842000,3036,2365,3116.2,53972.6,53972.6,8946.2,14
2400000,10796,4796,9141.4,53750.2,53750.2,14994.2,13
355000,10200,1245,1261.4,40475.4,38203.9,10600.3,21
285000,7540,1069,1011.1,40850.6,38348.8,10973.8,69
252500,10772,1101,1803.7,40728.5,38669.8,10157.7,26
225000,10674,1889,1862.2,40865.2,38801.7,10159.3,69
108000,7260,878,624.3,41420.5,38558.2,11626,67
155000,9372,1699,4043.3,41932,40700.3,8381.5,71
118000,7230,1249,2672.7,42198.1,40179.9,9908.7,58
195000,9100,1353,3444.1,42210.5,40581.9,9146.9,67
210000,9450,1193,3786.6,42305.5,40826.7,8821.9,67
160000,10500,914,3065.7,42412.5,40533.4,9621,81
155000,8224,1879,1480.7,42654.4,39906.5,11345.7,66
289000,8090,2431,1522,42750.2,39998.4,11347.3,46
180000,4950,1167,2222.4,42851,40427.6,10661.9,70
240000,6850,1320,1208.7,42974.8,40003.1,11794.7,0
250000,8862,1804,3222.8,42745.7,40853,9619.7,69
260000,10725,1877,1391,43443.7,40449,11795.4,21
285000,10725,1877,1391,43443.7,40449,11795.4,21
179000,6900,1317,4963.8,43076.7,41974,7957.6,26
175000,9088,1404,866.9,43566,40272.8,12404.7,67
305000,9525,1228,3137.5,43326.6,41234.8,9953.8,21
216000,16006,1711,2144.3,43485.8,40861.1,11010,70
2.00E+05,8960,1617,963.9,43753.5,40455.9,12402.5,67
291500,10500,1638,1484.8,43784.9,40743.4,11870.9,21
280000,10500,1343,1414.7,43798.4,40718.6,11944.3,21
269000,7800,1546,2132.2,43861.7,41124.3,11245.5,21
266500,10275,1528,1583.8,43975.2,40928.2,11870.9,59
260000,7650,1459,3299.6,43860.3,41709.8,10005.2,21
180000,7800,1329,2464.8,43951.4,41355.3,10948.4,69
3.00E+05,8220,2141,1350.1,44186.5,40946.4,12267.9,65
167500,6850,1395,4407.2,44192.2,42496.7,9042.9,67
230000,9360,1055,713.3,44847.1,40988.5,13469.1,26
130000,9111,902,2635.5,44485,41813.4,11059.2,67
135000,9111,2389,2575.4,44495.3,41790.3,11121.5,67
122000,6227,927,3433.2,44479.6,42219.8,10164,66
155000,8580,1323,2673,44850.7,42072.4,11256.6,66
160000,8633,1551,3526.9,44831.6,42506.2,10287.3,36
247500,7620,1731,1733.1,45667.3,42042.1,13016.8,26
105000,7680,1144,5943.4,45201.1,43977.1,7890.7,61
185000,9108,2206,1832.1,45836.5,42198.4,13034.6,61
289000,10560,1596,2020.4,45954.8,42373,12904.6,39
145000,9000,1192,5160.6,45524.4,43802.1,8937.9,69
180000,8160,1796,4009.3,45719.1,43323.5,10380.6,36
275000,9077,1730,4752.3,45716,43714.7,9529.5,64
240000,10425,1682,2163.7,46134.6,42556.8,12900.6,61
276000,9000,1517,4454.1,45765.6,43589.6,9901.5,41
215000,9730,1154,1378,46370.9,42277.7,14018.2,41
300033,10425,2219,2153.2,46298.5,42649.5,13054.2,31
245000,9728,1424,4866.6,45914,43897.9,9543.7,21
225000,9730,1399,1464.7,46504.8,42406.3,14022,66
218400,9525,1461,5764.1,45917.8,44368.5,8529.1,21
230000,8775,1969,564.6,46847.8,42144.4,15341.4,63
228500,9525,1306,4336.2,46148,43756.5,10347.8,26
171000,9730,2079,1693.2,46819.1,42721.3,14034.2,66
150000,8636,1836,3914.8,46473.4,43710.9,11145.1,68
278000,8500,2045,1086.9,47123.4,42596.4,14963.9,57
195000,10500,1112,2991,46679.2,43328.5,12413.4,66
120000,8636,1023,4049.4,46585.1,43849.1,11073.8,69
259000,10500,1538,3143,46802.7,43483.3,12334.7,21
250000,10500,1483,3035.9,46829.5,43441.8,12481.2,31
240000,9506,1022,5647.6,46501.4,44673.1,9068,36
170000,9503,1360,5399.3,46541.8,44566.1,9406.7,41
235000,10500,1388,5121,46587.9,44442.7,9752.1,21
266000,10727,1159,6505.5,46528.7,45141.3,8075.5,31
210000,9506,1140,6408.6,46542.2,45098.6,8211,69
336500,9506,1764,6353.6,46548.1,45074.5,8268.4,21
235000,10016,1665,2437.8,47229,43363.4,13492.3,65
132000,10031,1811,2662.7,47542.5,43674.2,13473.7,66
262000,9315,1217,4319.3,47495.2,44525,11471.4,21
229500,8100,1046,5801.6,47348.5,45249.6,9542,16
120000,7946,1223,3362.2,47735.5,44158.6,12810.8,67
289900,8100,2785,5628.4,47378.9,45171.4,9779.3,26
210000,12649,2138,2529.6,47967.3,43872.2,13971.4,45
245000,8040,1744,4124.6,47704.8,44545.6,11888.3,36
253500,6527,1764,6486.7,47543.2,45740.4,8811.2,36
241000,9714,1871,7202.2,47500.9,46101.7,7911.1,21
250000,17577,1397,6811.2,47558.8,45928.4,8384.3,46
165000,8723,1008,6051.5,47685.9,45578.3,9505.4,31
205000,8712,1239,5337.5,47815.1,45262.8,10494,65
240000,8712,1580,4568,47977.5,44945,11562.6,0
179000,13900,1030,7532,47668,46377.9,7606.9,31
145000,7867,1167,6978.9,47737.9,46118.5,8378.2,41
148900,9900,1556,2973.7,48378.1,44362.6,13752.4,61
158000,9900,1556,2973.7,48378.1,44362.6,13752.4,61
177500,9900,1556,2973.7,48378.1,44362.6,13752.4,61
215000,9052,1648,6272.5,47999.9,45878.1,9484.7,36
210000,7740,1700,7225.9,48060.4,46434.9,8336.5,41
267500,8385,1445,6329.1,48194.3,46019.7,9580.4,62
140000,9042,1427,4589.1,48524.2,45363.9,11797.9,62
165000,9042,1427,4589.1,48524.2,45363.9,11797.9,62
3.00E+05,12655,1633,6987.4,48249.8,46412.8,8771.1,21
324000,8385,2313,6658,48303.9,46261.6,9255.6,21
220000,7320,1602,7544.6,48514,46865,8316.8,31
3.00E+05,7800,2601,7060.2,48580.2,46637.5,8984.2,21
170700,9042,1542,2347.8,49317.7,45048.6,13404.4,61
231000,9042,1382,4350.4,48980.1,45782.3,11766.6,21
217000,10500,1544,7406.4,48719.1,46933.5,8559.6,31
180000,9042,1782,3992.4,49045.4,45680,12087.4,26
220000,9042,1163,3160.9,49223.8,45450.7,12647.7,16
315000,7650,1811,7518,48797,47054.4,8453.8,16
150000,8473,1302,5021.9,49042.1,46173.3,11042.3,63
165000,7500,2015,6857.1,48928.7,46894.1,9107,21
243000,9042,1557,3015.2,49414.4,45610.9,12528.2,62
249000,9042,1362,2780.5,49466.6,45546.5,12676.7,62
227000,10850,1765,1821.3,49731.4,45277.1,13400.9,63
270000,7500,1692,6830,49073.8,47032.4,9102.4,21
310000,10500,1979,6679.5,49080.5,46980.6,9210,21
170000,7918,1043,4593.5,49417.9,46389.6,11148.8,62
235000,9042,1540,4385.7,49455.5,46335,11313.7,41
170000,8680,1105,4727.3,49485.2,46530.7,10938.4,64
105000,9042,1524,2510.4,49814.8,45834,12489.7,64
2.00E+05,9042,1524,2510.4,49814.8,45834,12489.7,64
155000,9042,1912,3780.8,49688.7,46310.1,11601.8,64
170000,9042,1912,3780.8,49688.7,46310.1,11601.8,64
275000,12675,2656,6376.8,49487.4,47258.7,9378,36
340000,8400,2551,7293.7,49479.5,47645,8565,21
150000,9042,1582,1900,50242.9,46036.6,12535.3,61
155000,9042,1374,3782.7,49995.6,46640.4,11293.3,70
215000,9042,1763,2934.8,50151.3,46426.1,11762.6,65
343000,8400,2197,7629.8,49782.1,48083.7,8148.1,21
270000,8250,2024,5101.9,50073.6,47297.9,10201.7,62
149000,8910,1598,4134.7,50247.1,47054.2,10812.2,21
265000,8910,1598,4134.7,50247.1,47054.2,10812.2,21
287000,8400,1994,6321.8,50196,47934.3,9005.1,21
270000,8645,2782,4719.2,50346.3,47403.2,10371.4,36
2.00E+05,12691,1642,6105.4,50242.3,47894.9,9124.5,31
284000,8400,1651,6321.5,50277.7,48011.8,8963.6,21
238000,8486,1644,4874.6,50435.5,47555.3,10185.2,31
183000,5000,1133,2761.4,50786.8,47005.1,11355.4,21
3.00E+05,6760,1553,4717.7,50554.9,47609.8,10200.1,21
249900,5900,1892,3573.4,50880.6,47438.6,10674,21
197000,4500,1224,2414.7,51087.6,47157,11383.3,26
197000,4500,1262,2770.3,51110.3,47326,11097.9,26
185000,7472,2327,7053.4,50695.4,48709.6,8101.4,46
220000,7472,2327,7053.4,50695.4,48709.6,8101.4,46
198000,8850,1612,7416.1,50714.6,48877.2,7760.4,36
245000,4500,1318,3212.8,51242.3,47633,10676,21
125000,5400,975,3219,51367.6,47753.3,10576.3,31
138000,4500,923,2937.9,51420.5,47684.9,10755.6,36
113500,5850,1446,3424.6,51386.8,47853.5,10406.5,41
285000,8699,2127,7298.4,51037.8,49133,7715.3,21
218000,8956,1539,4773.5,51264.7,48302.3,9567.2,36
211000,4500,1105,3051.4,51490.9,47795.2,10623.4,26
247000,6741,1663,4132.1,51460,48209.9,9850.5,21
110000,5000,970,3061,51722.6,48004.6,10466,66
294000,7215,1630,5106.9,51471,48619.7,9196,21
269000,6250,1550,4105.8,51612.2,48345.5,9767.6,26
191500,5000,1066,2698.5,51934.7,48037.7,10623.4,31
320000,16561,2262,981.6,52488.9,47496.5,12375,64
209000,6600,1098,6552.9,51646.3,49363.1,8212.6,26
172000,6000,1159,2868.9,52064.2,48217.9,10431.7,36
2.00E+05,8072,1258,6757.1,51764.6,49555.6,7982.6,22
183000,7799,1303,4512.8,52084.4,48911.4,9161.9,31
160000,6890,1709,5981.3,51985.3,49430.1,8300.6,36
195000,6435,1143,6856.5,51912,49717.9,7868.9,16
165000,6635,988,6171.3,52020.7,49536.4,8163.4,36
319500,6600,1392,6471.7,52085.4,49710.7,7922.5,16
152000,6300,957,5021.3,52260.9,49272,8721,31
185000,6600,1518,2582.7,52686,48575.5,10460.6,26
175600,6000,1239,3955.4,52558.3,49066.5,9348,36
165000,6000,1410,3867.1,52575.8,49043.2,9410.6,36
274000,6480,1395,5520.7,52406.5,49592.6,8288.1,26
153900,8100,1133,3609.7,52665.4,49014.8,9569.2,31
211000,8400,1274,3231.3,52755,48918.8,9860,21
165000,5724,1145,3893.4,52719.2,49165.7,9336.2,36
211000,10440,1726,2598.5,53052.3,48818.8,10371.9,41
150000,8542,1194,5565.4,52680.7,49830.2,8103.6,46
263000,8438,1540,7425.8,52567.5,50508.7,7047.9,16
165000,8100,1169,3666.6,52985.7,49277.6,9426.3,36
185000,6300,1123,1728.6,53533.9,48535.6,11662.4,64
209500,8914,1457,3878.7,53138.2,49481.6,9205.5,36
140000,7493,996,2298.1,53559.9,48852.6,11014.4,64
180000,7875,1336,7054.2,52802.8,50872.3,6664.8,31
256000,6825,1938,7338.7,52837.8,50736.6,6849.2,31
160000,9517,1266,2369.9,53629,48924.5,10949.3,64
250000,8400,1561,2124.7,53710.4,48851.3,11227.7,64
225000,7500,1680,6006.6,53019.6,50290.7,7607.6,31
160000,6950,1524,2299.9,53860.4,49051.4,11019.8,62
230000,7936,1501,3446.3,53574.8,49561.4,9544.9,31
235000,7500,1808,6385.4,53224.5,50609.6,7237,26
225000,5850,1881,2740,53909,49285.9,10582.7,31
230000,7440,1400,5172.5,53400,50229.3,8043,36
202000,7875,1560,6014.7,53227.8,51681.1,5667.7,41
218000,7875,1480,6655.6,53315.9,51362.3,6186.2,41
254000,7080,1313,3187.8,53938.6,49612.8,9917.2,21
186000,6890,1576,7001.7,53415.6,51232.4,6419.1,31
175000,8056,1024,5998,53547.7,50695.2,7356.2,31
270000,5800,1688,3975.6,53848.6,49991.2,9038.5,21
147000,6697,1809,5451.7,53721.8,50589.4,7730.3,46
138000,6400,1268,5177.6,53784.1,50509.1,7937.3,31
2.00E+05,6400,1268,5177.6,53784.1,50509.1,7937.3,31
289000,15750,1440,5802.9,53486.4,51902.3,5568.2,21
327000,8441,1646,6558.4,53586.9,51561.4,6020.5,16
220000,7314,1506,5041.5,53958,50568.8,8027.1,62
160000,7980,1583,4908.7,53984.4,50526.7,8125.1,64
155000,7980,1266,4860,53995.6,50511.2,8170.6,64
195000,6890,1279,6903,53902.7,51557.2,6210.6,21
149900,6500,1155,6324.7,54337,52101.6,5622.7,31
235000,7983,1563,5343.3,54562.1,52749,4800.1,31
232000,7600,1439,6911.3,55380.3,52391.4,6092.8,31
225000,7600,1461,6830.7,55401.5,52354.5,6190.1,36
229000,7600,1553,6777.9,55411.8,52335.9,6237.1,26
165800,7600,1120,6783.2,55462.3,52499.7,5964.8,36
145000,6750,1245,1467.8,55466.3,55376.8,1269.7,90
190000,8176,1401,2198.4,56463.7,51328.5,10193.4,70
185000,6300,1217,2701,55528,54716,2512.4,31
2.00E+05,9900,1539,5041.1,55732.3,53559.7,4256.4,62
2.00E+05,7150,1370,5173.8,55751.9,53496.9,4376,61
143000,6180,1091,1856.3,55791.5,55322.7,1664.1,36
190000,6240,1091,2011.9,55795.5,55237.7,1820.8,36
240000,7280,1640,4321.8,55809.2,53977.8,3632.5,31
140000,6649,1377,2583.9,55795.2,54920.8,2397.1,36
210000,6480,1545,1350.8,55897.9,55665.9,1155.8,21
182000,6480,1221,1585.7,55898.7,55530,1392.6,26
230000,9968,1229,4144.1,55908,54126.6,3467.4,31
215000,6300,1585,4506.8,56527.8,52248.4,8045.8,31
225000,6785,1247,4271.1,56572.8,52202.6,8242.2,41
199000,6180,1021,1708,56050,55542.7,1517.1,26
350000,8480,1491,5805.7,56225,53439.5,4987.7,41
277000,8750,1328,4078.6,56753.5,52290.4,8343,21
160100,5775,1552,3221.6,56112.6,54738.1,2764.7,31
230000,6480,1186,1384.7,56161.6,55774.7,1192.7,26
129000,5300,961,3106.7,56154.8,54829.2,2707.3,80
140000,6180,1495,1546.3,56200.4,55705.1,1355.8,36
257500,7280,1369,4200.1,56212.2,54265.6,3438.2,21
220000,6588,1484,1918,56195.2,55492,1730.3,21
198000,6480,1151,2145.9,56207,55371.2,1960,26
2.00E+05,6435,1135,4998.8,56786.8,52665.1,7517.4,41
135000,6200,1338,3252.2,56256.1,54803.4,2734.8,36
369000,11394,2452,4802.7,56819.1,52621.5,7646.4,70
175000,6480,1223,1994.3,56315.2,55516.1,1808.2,46
195000,5000,1201,5140.3,56885.6,52798.3,7374.6,41
180000,5000,1083,5095.2,56893.5,52788.4,7412.5,31
192000,2750,1684,3559.8,57188,52473.6,8770.4,37
130000,7440,1234,3416.9,56408.5,54782.4,2759.4,31
290000,7768,1946,5743.7,56683.9,53738.7,4940.8,36
150000,3000,1125,1755.5,57671.1,52247,10070.5,35
140000,5500,1104,1872.3,56578.5,55725.7,1687.8,31
140000,5500,1209,1904.1,56580.1,55707.6,1718,46
175000,5500,993,1972.7,56583.6,55673.2,1782,36
240000,5000,1688,2396.1,56612.8,55457,2059.3,16
250000,6000,2062,2560.4,56624.7,55370.9,2137.5,31
213000,5800,1291,5254.3,57202.1,53119.5,7154.1,31
210000,8424,1055,1416.1,56726.3,56049,1229.8,43
147100,6859,1439,551.2,56842.9,56586.6,359.7,41
284000,9375,1331,2267.3,57836.5,52588.4,9497.2,59
2.00E+05,9375,1381,2105.1,57877,52564.9,9609.9,63
315000,7125,1706,3055.5,56892.2,55251.4,2345.4,26
247000,6879,1439,484.3,56955.1,56691.2,293.2,16
196000,9180,2163,6464.8,57299.1,53660.5,6028.8,45
315000,5400,1583,4649.1,57577.6,53226.4,7632.8,16
149000,8273,1407,4664,57080.8,54521.2,3846.9,62
329000,7725,1797,5933.2,57316,54026,5201.7,36
160000,7241,1110,5249.2,57586.4,53457.8,7043,36
176000,5000,1395,1307.2,57225.9,56373.2,1103.5,26
247000,7800,1444,2561.6,57257.5,55699.9,1846.8,26
235000,5500,1245,4356.6,57972.9,53468.6,7776.8,26
251000,7575,1763,1782.8,57357.4,56180.6,1330.1,43
240000,5850,1326,5564.8,57881.1,53830.5,6696.4,21
303000,5550,1423,4158.2,58157.8,53560.6,7837.9,11
2.00E+05,7875,1614,3601.4,57528.6,55324,2782.5,36
171000,5850,1378,6346.5,57945.1,54174,5955.3,60
266000,7875,1382,3473.5,57617.4,55435,2654.7,21
260000,5850,1394,1728.5,58735.2,53200.9,9403.4,16
104700,5850,981,5839.4,58036.9,54067.8,6406.1,60
209000,3151,1286,1590.1,58839.7,53251,9482.5,16
209000,5550,1496,4459.1,58300.6,53796.5,7528.9,21
335000,13228,1452,4941.2,57800.6,54788.7,4193.1,62
215000,5900,1083,2959.3,58634.1,53552.6,8538.5,26
198000,5850,1259,5563,58223.1,54130.2,6622.4,41
265000,7500,1423,5096.5,57972.2,54838,4388.7,41
205000,5600,1083,3878.6,58566.1,53822.6,7847.8,21
297000,5900,1421,3198,58722.5,53717.4,8307.3,16
245000,7600,1683,5540.9,58142.9,54733.3,4942,60
128000,9825,1828,1151.7,57838.1,56761.8,718.6,58
230000,6050,1083,2507.6,58883.7,53613.6,8737.6,26
235000,6100,1297,2059.8,59000.5,53560.4,8987.1,45
280000,8860,1309,1669.2,59107.1,53517.7,9206.8,21
476500,10125,2956,2667.6,57984.3,56044.3,1848,21
315000,10575,2187,1197.3,57973.7,56811.7,658.1,41
339000,8850,2699,460,58023.2,57256.1,237.9,21
232000,5850,1223,6163,58421.8,54600,5812.8,21
250000,8100,1704,3310.8,58139.7,55820.8,2498.3,61
249000,7020,1960,4932.4,58683.6,54310.2,6941.7,56
220000,11175,2168,537.8,58063.1,57204.7,256.4,46
405200,10977,1802,5301,58441.7,55017.9,4771.4,21
225000,6678,1157,3486,59058.8,54137,7901.2,26
150000,5750,1038,4429.5,59000.2,54407.1,7189.5,46
420500,14300,2311,2389,58300.5,56365.3,1570,41
379300,9570,1740,3459.8,58440.2,55913.6,2666.7,21
235000,5700,1205,5851.9,58735.5,54944.8,5570.4,21
360000,8100,1652,3076.5,58442.4,56113.5,2270.3,16
240000,10500,1923,1463.8,58348.5,56872.1,687.8,31
385000,7875,1821,4637.4,58717,55507.1,4072.5,21
320000,6780,1576,3429.5,59365,54379.4,7768.3,26
290000,7311,2114,3146.1,58620.3,56189.3,2349.6,36
360000,7547,1932,1618.3,58572.2,56931.1,804.3,21
265000,7800,1698,2215.9,58637,56661.7,1397.6,16
236500,5700,1347,5209.1,58967.1,55395.8,4878.5,16
343000,7794,2829,1439.4,58660.5,57070.8,627.1,21
126600,7800,1471,1945.5,58707.8,56839.3,1126.7,60
340000,6877,2047,3524,58844.2,56140.7,2792,26
230000,6372,1215,5618.7,59245,55053.8,6127.9,36
190000,5750,1005,5574.3,59255.6,55045.1,6157.2,36
220000,7500,1231,3906.7,59581.1,54753.2,7273.6,31
293000,6780,1040,3481,59696.2,54694.9,7529.9,21
227000,8625,2258,3925.7,59639.9,54812.5,7236,62
235000,9068,1673,1729.5,58851.7,57027.5,910.5,36
252500,6901,1280,5322.9,59212.4,55488.2,5128.6,64
170000,6900,1114,5596.9,59444.1,55222.9,6021.5,64
201000,5700,1769,5025.9,59305.8,55693.2,4820.5,63
355000,8080,1741,3807.4,59155,56176.5,3228.1,21
224000,7500,1918,1611.7,59014.8,57184.3,793,21
310000,8268,1611,2940.6,59124.8,56580.7,2195.6,26
239000,7500,1802,1262.7,59067,57402.5,443.4,31
180000,7500,2305,1157.7,59070.6,57455.2,338,60
243000,7500,1835,1566.6,59175.5,57302.2,748.4,36
195000,7500,2509,1009.4,59143.5,57578.7,191.2,46
274900,7500,1809,1011.7,59192.9,57605.9,191.9,26
330000,7500,1631,2917.1,59318.6,56715.4,2207.1,21
315300,7500,2091,1764,59235.8,57233.3,953.2,59
220000,7500,1844,1160.3,59225.4,57543.7,341.1,41
255000,7500,1719,2197.5,59330.1,57071.2,1409,41
2.00E+05,7493,1133,4869.2,59647.7,55972.8,4673.8,36
168000,5700,1142,5008.9,59677.8,55930.9,4812.7,64
335000,7800,2083,3336.6,59521.9,56626,2799.4,59
3.00E+05,7800,2038,3385.8,59530.2,56606.9,2863.8,60
155500,7500,1157,4104.1,60199.2,55377.7,6768.5,62
357500,7500,1912,2365.8,59592.4,57141.1,1645.2,11
285000,7500,1610,2060.8,59720.6,57372.5,1321.9,36
179000,5600,1538,2976.4,60716.3,55436.1,7254.1,66
460000,7800,2009,3113.3,59890.8,56958.3,2693.9,59
2.00E+05,5600,1746,2291.8,60886.2,55352.8,7636.4,65
280000,5650,1674,3767.7,60667.3,55667.3,6721.5,36
150000,5650,1006,3673.4,60689.7,55653.9,6776.9,36
151500,5700,1083,4347,60141.2,56533.8,4150.8,60
3.00E+05,8382,1269,2760.2,60903.9,55535.5,7285.1,26
210000,5600,1215,2714.8,60920.4,55530,7314.1,31
235000,5650,1475,3407.5,60950.7,55798.2,6794.2,36
201000,5750,1688,5507.8,60589.6,56288.6,5311.9,64
205000,5750,1233,5222.8,60692.6,56197.7,5659.4,31
187500,5588,1588,4935.1,60751.8,56150.1,5835.7,59
199300,5700,1083,3700.7,60384.6,56988.6,3505.6,58
160000,5650,937,3451.2,61082.3,55931.9,6684.1,56
265000,5750,1381,5286.4,60883,56389.5,5503.5,21
255200,7575,1741,2538.6,60409.7,57556.3,2214.1,59
260000,7639,1714,4117.3,60634.2,56947.4,3921,26
187900,5194,1303,4461.5,60714.2,56847.4,4265.2,61
205000,8509,1137,3069.6,61373.3,56067.5,6763.3,36
270000,5750,1380,5470.6,60993.3,56552.9,5302.1,21
195000,5650,890,4066.4,61280.5,56323.3,6116.8,26
2.00E+05,9503,1339,3748.1,61346.8,56279.6,6282.2,66
216500,8509,1023,3599.1,61382.9,56259.7,6376.6,41
253000,5650,1825,3545.6,61399.6,56252.7,6409.4,26
190000,5750,1107,4785.8,61023.5,56900.1,4589.9,62
550000,11375,2525,1880.1,60646.8,58013.5,1508,16
237000,5750,1419,3196.9,60815,57493.4,3001,41
145000,5750,1055,3258.7,60827.6,57472.7,3062.5,60
170000,5700,1160,3842.1,60947.2,57276.8,3645.8,36
150000,5405,1192,4019,60987.6,57224.3,3822.7,60
345000,8475,968,3300.1,61658.1,56406.7,6405.2,11
177500,5600,933,2726.2,61799.6,56332.8,6744.3,31
178000,5750,1295,5351.7,61354.3,56845.5,5145,61
285000,5650,1523,3505,61754.6,56558.5,6218.7,21
365000,14280,1787,3203.8,61810,56520.1,6349.2,41
405000,8546,1758,2543.7,61974,56435.8,6754.9,11
230000,12859,1872,2359,61013.3,58005,2165.8,56
3.00E+05,7860,1589,2738,61149.1,57914.8,2542.1,11
225000,6045,1151,3609.4,61974.9,56799.1,6017.9,21
4.00E+05,10714,1852,1681.7,62441.1,56563.6,7161.7,56
231000,6045,1135,3650.3,62101.8,56927.9,5909.9,26
260000,7990,1694,2194.2,61357.8,58295.4,1999.7,31
610000,11173,2215,699.7,61241.3,58906.8,310.1,21
749000,8669,2818,675.3,61324.1,58987.7,308.4,6
